Time,Monday,Tuesday,Wednesday,Thursay,Friday
8:30=9:20,,,,,
9:30-10:20,,,,"('4ac3', 'tut 1')",
10:30-11:20,,"('4ml3', 'tut 1')",,,
11:30-12:20,"('4ac3', 'lec 1')",,"('4ac3', 'lec 1')",,
12:30-13:20,,"('4X03', 'lec 1')","('4X03', 'lec 1')",,"('4X03', 'lec 1')"
13:30-14:20,"('4X03', 'tut 1')",,,,"('4ac3', 'lec 1')"
14:30-15:20,,,"('4c03', 'lab 1')","('4ml3', 'lec 1')",
15;30-16:20,,,"('4c03', 'lab 1')","('4ml3', 'lec 1')",
14:30-17:20,,"('4ml3', 'lec 1')","('4c03', 'lab 1')",,
17:30-18:20,"('4c03', 'lec 1')",,"('4c03', 'lec 1')","('4c03', 'lec 1')",
